Ticket Price      Patrons    Profit
     $2.75          130      $243.10 
     $2.70          145      $259.55 
     $2.65          160      $273.60 
     $2.60          175      $285.25 
     $2.55          190      $294.50 
     $2.50          205      $301.35 
     $2.45          220      $305.80 
     $2.40          235      $307.85 
     $2.35          250      $307.50 
     $2.30          265      $304.75 
     $2.25          280      $299.60 
     $2.20          295      $292.05 
     $2.15          310      $282.10 
     $2.10          325      $269.75 
     $2.05          340      $255.00 
     $2.00          355      $237.85 
     $1.95          370      $218.30 
     $1.90          385      $196.35 
     $1.85          400      $172.00 
     $1.80          415      $145.25 
     $1.75          430      $116.10 
     $1.70          445       $84.55 
     $1.65          460       $50.60 
     $1.60          475       $14.25 
     $1.55          490       $24.50 
     $1.50          505       $65.65 
      Best Ticket price is:$2.40
